business_id,business_category,business_true_avg_rating,business_displayed_stars,business_review_count
170,restaurants,3.632,3.5,46
171,shopping,3.57,3.5,294
172,restaurants,4.459,4.5,13
173,health,4.323,4.5,10
174,restaurants,3.893,4.0,84
175,restaurants,3.646,3.5,8
176,shopping,4.414,4.5,21
177,health,3.839,4.0,24
178,services,3.4,3.5,70
179,beauty,2.906,3.0,46
180,services,3.607,3.5,40
181,services,4.265,4.5,17
182,shopping,5.0,5.0,84
183,restaurants,3.884,4.0,1375
184,beauty,3.429,3.5,50
185,beauty,3.198,3.0,28
186,shopping,4.154,4.0,8
187,restaurants,2.879,3.0,14
188,beauty,4.153,4.0,21
189,restaurants,4.3,4.5,15
190,health,4.09,4.0,25
191,restaurants,3.729,3.5,146
192,restaurants,4.161,4.0,86
193,services,3.944,4.0,22
194,restaurants,3.422,3.5,8
195,restaurants,4.868,5.0,94
196,nightlife,3.657,3.5,24
197,services,4.277,4.5,5
198,restaurants,2.52,2.5,51
199,restaurants,4.552,4.5,69
200,beauty,4.658,4.5,3
201,health,3.866,4.0,12
202,shopping,4.157,4.0,23
203,restaurants,4.157,4.0,52
204,restaurants,3.496,3.5,16
205,restaurants,4.151,4.0,12
206,restaurants,3.405,3.5,52
207,beauty,3.515,3.5,16
208,restaurants,4.47,4.5,43
209,shopping,4.386,4.5,9
210,beauty,3.461,3.5,7
211,nightlife,3.447,3.5,53
212,restaurants,3.495,3.5,33
213,services,4.253,4.5,63
214,beauty,3.3,3.5,15
215,beauty,4.046,4.0,12
216,restaurants,4.261,4.5,97
217,restaurants,3.801,4.0,6
218,health,4.406,4.5,87
219,shopping,3.683,3.5,93
220,restaurants,3.732,3.5,59
221,shopping,3.313,3.5,13
222,beauty,4.409,4.5,12
223,health,3.428,3.5,21
224,restaurants,4.042,4.0,8
225,health,3.811,4.0,10
226,restaurants,3.271,3.5,48
227,nightlife,3.515,3.5,48
228,nightlife,4.611,4.5,10
229,restaurants,3.961,4.0,49
230,restaurants,3.295,3.5,40
231,shopping,4.018,4.0,112
232,health,3.77,4.0,44
233,nightlife,5.0,5.0,72
234,health,4.007,4.0,41
235,services,3.641,3.5,66
236,shopping,4.631,4.5,8
237,services,2.837,3.0,23
238,restaurants,3.902,4.0,25
239,restaurants,4.947,5.0,20
240,services,3.786,4.0,39
241,services,2.897,3.0,47
242,restaurants,3.632,3.5,37
243,shopping,4.65,4.5,22
244,nightlife,4.057,4.0,13
245,services,3.389,3.5,74
246,nightlife,3.473,3.5,36
247,shopping,3.542,3.5,10
248,shopping,4.049,4.0,21
249,shopping,4.586,4.5,5
250,nightlife,4.429,4.5,26
251,services,4.101,4.0,21
252,shopping,3.118,3.0,15
253,restaurants,3.12,3.0,121
254,restaurants,4.143,4.0,9
255,beauty,3.11,3.0,51
256,services,3.726,3.5,219
257,restaurants,4.017,4.0,73
258,restaurants,3.224,3.0,25
259,nightlife,3.287,3.5,9
260,restaurants,3.798,4.0,7
261,services,4.127,4.0,17
262,restaurants,4.434,4.5,13
263,restaurants,4.184,4.0,13
264,health,3.891,4.0,19
265,restaurants,3.44,3.5,23
266,restaurants,3.261,3.5,41
267,restaurants,3.569,3.5,8
268,restaurants,4.075,4.0,13
269,restaurants,4.035,4.0,22
270,restaurants,2.695,2.5,21
271,restaurants,3.418,3.5,155
272,restaurants,4.512,4.5,32
273,nightlife,3.894,4.0,6
274,beauty,3.071,3.0,38
275,shopping,5.0,5.0,43
276,restaurants,3.834,4.0,23
277,shopping,4.061,4.0,8
278,services,4.07,4.0,143
279,services,3.648,3.5,9
280,restaurants,3.45,3.5,49
281,restaurants,5.0,5.0,31
282,restaurants,4.402,4.5,46
283,restaurants,4.302,4.5,136
284,nightlife,4.167,4.0,44
285,shopping,3.298,3.5,15
286,restaurants,4.553,4.5,75
287,shopping,3.386,3.5,14
288,shopping,4.006,4.0,30
289,restaurants,2.948,3.0,8
290,services,2.728,2.5,10
291,restaurants,4.025,4.0,27
292,health,3.405,3.5,36
293,restaurants,2.756,3.0,5
294,services,4.147,4.0,41
295,services,5.0,5.0,12
296,health,4.614,4.5,89
297,services,3.708,3.5,18
298,beauty,3.855,4.0,9
299,nightlife,4.338,4.5,27
300,beauty,4.467,4.5,11
301,restaurants,3.661,3.5,88
302,shopping,3.869,4.0,26
303,shopping,4.015,4.0,22
304,services,4.155,4.0,45
305,shopping,3.777,4.0,10
306,shopping,3.784,4.0,8
307,nightlife,4.609,4.5,38
308,restaurants,4.515,4.5,9
309,restaurants,4.113,4.0,9
310,shopping,4.796,5.0,58
311,shopping,3.637,3.5,42
312,restaurants,4.743,4.5,8
313,shopping,4.148,4.0,14
314,shopping,5.0,5.0,11
315,restaurants,3.194,3.0,146
316,shopping,3.471,3.5,62
317,beauty,4.08,4.0,17
318,restaurants,4.068,4.0,45
319,health,4.923,5.0,7
320,services,3.482,3.5,14
321,shopping,4.348,4.5,28
322,restaurants,4.489,4.5,40
323,shopping,4.238,4.0,23
324,services,3.321,3.5,32
325,nightlife,4.624,4.5,28
326,services,4.526,4.5,22
327,shopping,4.18,4.0,19
328,nightlife,3.962,4.0,17
329,restaurants,3.974,4.0,32
330,beauty,3.807,4.0,38
331,restaurants,4.202,4.0,31
332,beauty,3.867,4.0,9
333,services,3.383,3.5,10
334,restaurants,3.273,3.5,38
335,nightlife,3.436,3.5,108
336,restaurants,3.972,4.0,30
337,beauty,3.835,4.0,17
338,restaurants,3.968,4.0,32
339,health,4.125,4.0,9
340,restaurants,3.505,3.5,92
341,health,4.656,4.5,31
342,services,3.703,3.5,14
343,nightlife,3.612,3.5,22
344,services,4.115,4.0,15
345,services,2.84,3.0,92
346,health,3.415,3.5,21
347,restaurants,4.39,4.5,30
348,nightlife,2.894,3.0,45
349,restaurants,4.465,4.5,13
350,nightlife,4.681,4.5,31
351,restaurants,3.647,3.5,33
352,nightlife,4.01,4.0,6
353,nightlife,4.465,4.5,33
354,shopping,3.593,3.5,24
355,shopping,4.327,4.5,29
356,beauty,3.481,3.5,26
357,services,3.587,3.5,33
358,shopping,3.41,3.5,94
359,nightlife,4.038,4.0,9
360,health,4.487,4.5,18
361,restaurants,3.749,3.5,49
362,restaurants,3.151,3.0,41
363,restaurants,3.255,3.5,40
364,nightlife,4.067,4.0,386
365,shopping,4.864,5.0,46
366,beauty,4.067,4.0,77
367,beauty,3.637,3.5,19
368,restaurants,4.271,4.5,10
369,services,3.718,3.5,19
370,beauty,3.642,3.5,51
371,restaurants,3.323,3.5,38
372,shopping,4.625,4.5,38
373,restaurants,2.453,2.5,21
374,restaurants,4.289,4.5,18
375,restaurants,3.595,3.5,21
376,health,3.624,3.5,52
377,shopping,4.781,5.0,58
378,shopping,3.457,3.5,10
379,beauty,3.476,3.5,54
380,nightlife,3.778,4.0,14
381,health,4.078,4.0,40
382,services,3.607,3.5,21
383,shopping,2.984,3.0,118
384,shopping,3.374,3.5,17
385,health,4.555,4.5,30
386,beauty,3.891,4.0,46
387,health,4.098,4.0,11
388,restaurants,3.706,3.5,24
389,services,3.487,3.5,20
390,nightlife,4.773,5.0,16
391,restaurants,3.746,3.5,17
392,nightlife,3.606,3.5,76
393,beauty,4.453,4.5,14
394,restaurants,3.453,3.5,44
395,shopping,3.523,3.5,35
396,services,3.856,4.0,7
397,restaurants,3.85,4.0,42
398,shopping,3.993,4.0,7
399,shopping,5.0,5.0,47
400,restaurants,4.035,4.0,16
401,services,2.542,2.5,26
402,services,4.029,4.0,8
403,restaurants,3.871,4.0,29
404,health,3.874,4.0,63
405,services,3.985,4.0,12
406,restaurants,3.834,4.0,14
407,services,3.821,4.0,40
408,restaurants,4.187,4.0,41
409,health,3.552,3.5,3
410,beauty,3.329,3.5,185
411,nightlife,5.0,5.0,43
412,restaurants,3.456,3.5,50
413,services,3.905,4.0,22
414,restaurants,3.027,3.0,5
415,restaurants,3.914,4.0,49
416,restaurants,3.337,3.5,15
417,beauty,3.607,3.5,43
418,restaurants,4.425,4.5,21
419,services,4.11,4.0,32
420,nightlife,4.163,4.0,12
421,restaurants,2.876,3.0,59
422,restaurants,4.86,5.0,8
423,restaurants,3.194,3.0,233
424,nightlife,4.691,4.5,231
425,services,4.412,4.5,127
426,restaurants,4.168,4.0,89
427,services,3.38,3.5,24
428,restaurants,3.933,4.0,80
429,services,3.591,3.5,23
430,health,3.866,4.0,6
431,beauty,3.713,3.5,111
432,beauty,2.729,2.5,77
433,services,4.467,4.5,25
434,restaurants,3.805,4.0,8
435,restaurants,3.583,3.5,15
436,restaurants,3.542,3.5,5
437,shopping,4.047,4.0,64
438,beauty,3.358,3.5,6
439,nightlife,2.61,2.5,34
440,services,4.074,4.0,12
441,restaurants,4.136,4.0,7
442,beauty,3.74,3.5,32
443,restaurants,3.219,3.0,19
444,restaurants,3.899,4.0,58
445,beauty,3.045,3.0,8
446,health,3.285,3.5,13
447,nightlife,3.437,3.5,3
448,restaurants,4.314,4.5,4
449,nightlife,3.651,3.5,149
450,restaurants,3.604,3.5,198
451,services,4.925,5.0,28
452,beauty,4.044,4.0,12
453,restaurants,4.036,4.0,19
454,restaurants,3.647,3.5,60
455,restaurants,3.522,3.5,16
456,health,2.647,2.5,32
457,shopping,4.383,4.5,25
458,services,4.097,4.0,15
459,nightlife,3.751,4.0,15
460,nightlife,3.775,4.0,34
461,restaurants,4.255,4.5,10
462,health,2.995,3.0,40
463,restaurants,3.526,3.5,16
464,nightlife,3.225,3.0,29
465,beauty,4.824,5.0,99
466,nightlife,4.332,4.5,22
467,health,2.639,2.5,63
468,restaurants,3.017,3.0,5
469,shopping,3.777,4.0,16
470,shopping,3.59,3.5,26
471,shopping,3.122,3.0,169
472,restaurants,4.92,5.0,4
473,restaurants,4.022,4.0,23
474,restaurants,4.111,4.0,106
475,restaurants,3.469,3.5,12
476,shopping,4.247,4.0,21
477,nightlife,3.641,3.5,35
478,nightlife,3.694,3.5,31
479,shopping,4.186,4.0,118
480,shopping,2.954,3.0,39
481,restaurants,4.728,4.5,94
482,nightlife,3.95,4.0,18
483,restaurants,4.555,4.5,13
484,restaurants,3.259,3.5,21
485,shopping,3.342,3.5,9
486,shopping,3.211,3.0,41
487,restaurants,3.988,4.0,18
488,nightlife,3.886,4.0,14
489,nightlife,3.595,3.5,41
490,beauty,3.292,3.5,9
491,nightlife,3.153,3.0,54
492,nightlife,3.823,4.0,16
493,restaurants,3.594,3.5,79
494,services,3.473,3.5,18
495,nightlife,4.701,4.5,47
496,shopping,3.805,4.0,30
497,nightlife,4.549,4.5,53
498,shopping,3.557,3.5,28
499,shopping,3.985,4.0,6
500,beauty,3.819,4.0,68
501,services,2.916,3.0,23
502,health,4.636,4.5,55
503,shopping,3.776,4.0,50
504,shopping,4.261,4.5,12
505,services,3.436,3.5,11
506,restaurants,3.759,4.0,48
507,services,3.373,3.5,19
508,shopping,4.53,4.5,64
509,restaurants,4.021,4.0,22
510,restaurants,4.052,4.0,69
511,services,4.597,4.5,38
512,restaurants,4.486,4.5,34
513,restaurants,4.271,4.5,18
514,restaurants,3.068,3.0,32
515,restaurants,3.467,3.5,82
516,restaurants,3.298,3.5,24
517,beauty,4.25,4.5,43
518,restaurants,3.944,4.0,27
519,services,3.085,3.0,29
520,services,3.746,3.5,138
521,shopping,3.028,3.0,83
522,restaurants,3.821,4.0,28
523,nightlife,2.94,3.0,31
524,restaurants,4.141,4.0,13
525,shopping,4.058,4.0,22
526,health,4.899,5.0,34
527,health,4.316,4.5,58
528,beauty,3.617,3.5,53
529,restaurants,4.3,4.5,9
530,beauty,3.081,3.0,66
531,beauty,3.321,3.5,23
532,shopping,4.033,4.0,10
533,nightlife,2.663,2.5,94
534,restaurants,3.83,4.0,107
535,restaurants,3.289,3.5,33
536,shopping,3.906,4.0,51
537,restaurants,3.257,3.5,54
538,restaurants,4.083,4.0,100
539,services,3.861,4.0,52
540,health,4.62,4.5,8
541,nightlife,3.854,4.0,184
542,services,3.427,3.5,72
543,health,3.714,3.5,16
544,restaurants,3.111,3.0,10
545,shopping,4.073,4.0,42
546,shopping,4.174,4.0,20
547,restaurants,5.0,5.0,35
548,beauty,3.508,3.5,53
549,shopping,3.703,3.5,15
550,shopping,3.533,3.5,9
551,restaurants,3.967,4.0,37
552,restaurants,4.06,4.0,15
553,services,3.821,4.0,29
554,restaurants,4.447,4.5,7
555,restaurants,3.511,3.5,20
556,restaurants,4.392,4.5,51
557,shopping,4.146,4.0,46
558,nightlife,3.843,4.0,12
559,shopping,3.677,3.5,9
560,restaurants,5.0,5.0,26
561,restaurants,3.401,3.5,44
562,services,4.014,4.0,38
563,nightlife,3.437,3.5,16
564,nightlife,4.832,5.0,34
565,beauty,4.338,4.5,111
566,beauty,3.477,3.5,31
567,restaurants,4.132,4.0,6
568,shopping,3.992,4.0,31
569,shopping,3.566,3.5,190
570,restaurants,4.267,4.5,8
571,services,4.064,4.0,26
572,shopping,3.969,4.0,21
573,beauty,3.827,4.0,28
574,services,4.087,4.0,31
575,shopping,3.976,4.0,78
576,services,3.883,4.0,28
577,nightlife,3.497,3.5,89
578,services,4.782,5.0,23
579,shopping,3.272,3.5,18
580,shopping,4.085,4.0,14
581,shopping,3.674,3.5,5
582,restaurants,4.818,5.0,33
583,shopping,3.353,3.5,192
584,services,3.446,3.5,40
585,nightlife,3.317,3.5,50
586,restaurants,4.028,4.0,17
587,restaurants,3.095,3.0,20
588,restaurants,3.587,3.5,67
589,restaurants,2.666,2.5,184
590,health,3.982,4.0,110
591,shopping,3.575,3.5,56
592,restaurants,3.032,3.0,26
593,nightlife,4.447,4.5,31
594,restaurants,3.131,3.0,13
595,restaurants,4.288,4.5,7
596,beauty,3.464,3.5,9
597,nightlife,4.731,4.5,27
598,health,4.262,4.5,19
599,nightlife,3.296,3.5,7
600,shopping,3.346,3.5,25
601,beauty,4.183,4.0,19
602,services,3.706,3.5,9
603,beauty,3.757,4.0,18
604,health,4.55,4.5,19
605,services,3.438,3.5,14
606,services,3.9,4.0,63
607,restaurants,4.375,4.5,5
608,beauty,4.295,4.5,4
609,shopping,3.762,4.0,26
610,nightlife,3.691,3.5,28
611,nightlife,2.894,3.0,38
612,health,3.269,3.5,15
613,health,4.025,4.0,11
614,restaurants,3.774,4.0,25
615,beauty,3.891,4.0,17
616,beauty,4.422,4.5,117
617,shopping,3.197,3.0,19
618,restaurants,3.72,3.5,24
619,restaurants,3.954,4.0,293
620,beauty,3.463,3.5,21
621,shopping,4.637,4.5,44
622,health,4.35,4.5,48
623,shopping,4.01,4.0,52
624,health,4.837,5.0,34
625,shopping,3.026,3.0,31
626,services,3.846,4.0,28
627,restaurants,4.051,4.0,15
628,nightlife,3.347,3.5,35
629,services,4.015,4.0,188
630,health,3.241,3.0,83
631,services,4.23,4.0,34
632,restaurants,4.432,4.5,59
633,shopping,4.0,4.0,11
634,restaurants,2.831,3.0,20
635,restaurants,3.318,3.5,64
636,beauty,4.161,4.0,110
637,beauty,3.862,4.0,12
638,beauty,2.368,2.5,16
639,services,4.534,4.5,218
640,beauty,3.925,4.0,28
641,services,3.4,3.5,153
642,restaurants,4.397,4.5,31
643,restaurants,3.477,3.5,32
644,nightlife,3.471,3.5,19
645,services,4.047,4.0,64
646,restaurants,4.83,5.0,96
647,shopping,4.743,4.5,10
648,beauty,4.048,4.0,18
649,restaurants,4.104,4.0,62
650,shopping,4.285,4.5,23
651,services,3.159,3.0,16
652,beauty,4.204,4.0,68
653,restaurants,3.446,3.5,75
654,services,4.025,4.0,17
655,shopping,3.725,3.5,31
656,services,4.126,4.0,8
657,restaurants,3.915,4.0,11
658,nightlife,2.16,2.0,29
659,shopping,3.948,4.0,26
660,restaurants,4.203,4.0,10
661,services,4.095,4.0,13
662,restaurants,3.794,4.0,9
663,restaurants,4.753,5.0,40
664,shopping,4.021,4.0,4
665,beauty,4.091,4.0,10
666,services,4.424,4.5,5
667,health,4.049,4.0,38
668,restaurants,3.356,3.5,5
669,shopping,2.509,2.5,26
670,restaurants,3.588,3.5,127
671,nightlife,4.269,4.5,132
672,health,3.656,3.5,5
673,beauty,4.291,4.5,34
674,nightlife,3.932,4.0,10
675,shopping,4.558,4.5,8
676,services,3.688,3.5,23
677,shopping,4.107,4.0,85
678,restaurants,4.128,4.0,46
679,shopping,4.676,4.5,13
680,restaurants,2.911,3.0,51
681,restaurants,3.598,3.5,4
682,restaurants,4.317,4.5,13
683,shopping,4.7,4.5,12
684,nightlife,3.982,4.0,28
685,shopping,3.689,3.5,21
686,shopping,4.266,4.5,22
687,health,4.328,4.5,22
688,beauty,3.652,3.5,26
689,nightlife,4.032,4.0,43
690,restaurants,4.499,4.5,29
691,services,4.89,5.0,19
692,restaurants,4.258,4.5,38
693,restaurants,3.874,4.0,57
694,services,3.82,4.0,15
695,shopping,4.157,4.0,24
696,beauty,3.786,4.0,79
697,nightlife,3.954,4.0,9
698,nightlife,3.268,3.5,150
699,restaurants,4.563,4.5,7
700,restaurants,3.223,3.0,18
701,restaurants,3.612,3.5,10
702,restaurants,3.904,4.0,220
703,services,4.945,5.0,16
704,restaurants,3.618,3.5,16
705,nightlife,3.484,3.5,18
706,services,3.547,3.5,28
707,services,4.762,5.0,19
708,shopping,2.303,2.5,22
709,shopping,3.298,3.5,2
710,health,5.0,5.0,27
711,beauty,4.175,4.0,26
712,services,3.242,3.0,70
713,services,3.827,4.0,92
714,services,3.887,4.0,21
715,restaurants,4.315,4.5,56
716,nightlife,4.862,5.0,9
717,restaurants,4.064,4.0,54
718,nightlife,3.553,3.5,15
719,health,4.283,4.5,9
720,shopping,3.466,3.5,21
721,shopping,3.282,3.5,101
722,restaurants,2.882,3.0,30
723,health,2.989,3.0,111
724,restaurants,3.357,3.5,13
725,restaurants,3.202,3.0,71
726,restaurants,4.022,4.0,14
727,restaurants,3.19,3.0,32
728,shopping,2.121,2.0,31
729,shopping,3.276,3.5,49
730,restaurants,3.59,3.5,33
731,restaurants,3.517,3.5,13
732,restaurants,4.686,4.5,60
733,shopping,3.513,3.5,140
734,restaurants,4.335,4.5,15
735,beauty,3.84,4.0,5
736,restaurants,3.827,4.0,41
737,restaurants,3.391,3.5,19
738,shopping,3.818,4.0,23
739,shopping,3.429,3.5,44
740,restaurants,3.944,4.0,17
741,restaurants,3.72,3.5,20
742,services,3.33,3.5,23
743,restaurants,4.396,4.5,108
744,shopping,4.085,4.0,26
745,shopping,3.604,3.5,8
746,restaurants,3.93,4.0,8
747,shopping,3.804,4.0,29
748,services,3.373,3.5,9
749,services,3.889,4.0,6
750,restaurants,3.508,3.5,47
751,restaurants,3.33,3.5,50
752,restaurants,2.957,3.0,18
753,shopping,3.653,3.5,34
754,beauty,4.162,4.0,31
755,restaurants,3.468,3.5,46
756,restaurants,5.0,5.0,46
757,health,4.337,4.5,3
758,restaurants,4.567,4.5,20
759,shopping,4.287,4.5,42
760,beauty,4.869,5.0,17
761,restaurants,3.417,3.5,26
762,restaurants,2.442,2.5,53
763,restaurants,3.605,3.5,28
764,services,4.157,4.0,112
765,restaurants,3.933,4.0,77
766,restaurants,4.002,4.0,23
767,restaurants,4.577,4.5,21
768,restaurants,4.06,4.0,2
769,nightlife,4.289,4.5,19
770,restaurants,3.333,3.5,7
771,nightlife,3.248,3.0,32
772,nightlife,4.738,4.5,30
773,services,3.905,4.0,50
774,restaurants,3.507,3.5,100
775,services,3.508,3.5,25
776,nightlife,3.493,3.5,241
777,restaurants,3.46,3.5,32
778,beauty,3.144,3.0,8
779,services,3.025,3.0,15
780,restaurants,3.743,3.5,18
781,services,3.524,3.5,45
782,shopping,4.459,4.5,11
783,nightlife,4.011,4.0,19
784,health,3.996,4.0,22
785,shopping,3.441,3.5,17
786,services,3.783,4.0,56
787,restaurants,4.049,4.0,48
788,services,4.244,4.0,80
789,nightlife,3.798,4.0,19
790,restaurants,4.444,4.5,83
791,shopping,3.854,4.0,7
792,restaurants,4.286,4.5,7
793,restaurants,3.581,3.5,8
794,restaurants,2.853,3.0,26
795,shopping,3.998,4.0,83
796,restaurants,4.249,4.0,14
797,restaurants,4.166,4.0,16
798,beauty,4.082,4.0,21
799,beauty,3.658,3.5,45
800,beauty,3.406,3.5,16
801,restaurants,4.153,4.0,15
802,services,4.085,4.0,7
803,nightlife,3.542,3.5,15
804,restaurants,4.46,4.5,81
805,restaurants,3.364,3.5,28
806,beauty,3.529,3.5,13
807,restaurants,4.75,5.0,85
808,shopping,4.328,4.5,15
809,health,3.653,3.5,102
810,restaurants,4.008,4.0,101
811,restaurants,3.935,4.0,27
812,health,2.34,2.5,6
813,nightlife,3.351,3.5,243
814,restaurants,3.822,4.0,37
815,services,3.654,3.5,19
816,services,3.986,4.0,65
817,shopping,4.471,4.5,51
818,nightlife,3.673,3.5,92
819,restaurants,3.268,3.5,14
820,restaurants,4.029,4.0,35
821,nightlife,3.67,3.5,8
822,restaurants,3.764,4.0,49
823,beauty,3.69,3.5,25
824,services,5.0,5.0,33
825,restaurants,2.618,2.5,22
826,nightlife,3.636,3.5,20
827,restaurants,3.848,4.0,11
828,services,3.42,3.5,55
829,restaurants,4.345,4.5,110
830,nightlife,4.297,4.5,15
831,nightlife,3.824,4.0,44
832,shopping,3.701,3.5,39
833,beauty,3.788,4.0,26
834,beauty,3.792,4.0,6
835,nightlife,3.807,4.0,8
836,beauty,3.747,3.5,12
837,health,3.989,4.0,4
838,shopping,4.264,4.5,101
839,shopping,3.173,3.0,36
840,restaurants,3.272,3.5,25
841,services,2.888,3.0,4
842,shopping,4.327,4.5,5
843,shopping,3.988,4.0,25
844,restaurants,4.128,4.0,177
845,services,3.064,3.0,13
846,shopping,4.832,5.0,59
847,beauty,3.515,3.5,16
848,restaurants,3.943,4.0,27
849,health,4.32,4.5,84
850,restaurants,3.307,3.5,18
851,restaurants,3.55,3.5,13
852,services,3.949,4.0,102
853,services,5.0,5.0,27
854,restaurants,4.016,4.0,74
855,shopping,4.733,4.5,13
856,beauty,4.513,4.5,101
857,services,4.052,4.0,33
858,shopping,3.306,3.5,39
859,shopping,4.433,4.5,29
860,beauty,3.026,3.0,16
861,beauty,4.73,4.5,25
862,services,3.96,4.0,17
863,nightlife,2.392,2.5,65
864,restaurants,3.663,3.5,21
865,services,4.21,4.0,6
866,services,3.72,3.5,6
867,services,4.243,4.0,5
868,restaurants,3.382,3.5,47
