attempt_id,business_id,business_category,business_true_avg_rating,business_displayed_stars,business_review_count,intended_star,user_review_count,user_tenure_days,user_experience_z,user_is_elite,device_mobile,session_prompted,completed,review_length
27,3630,restaurants,3.134,3.0,12,1,1,63,-1.3196,0,1,0,1,64.0
28,1084,health,3.54,3.5,17,5,8,162,0.3835,0,1,1,1,67.0
29,2078,restaurants,3.761,4.0,55,5,16,34,1.1036,0,1,1,1,66.0
30,657,restaurants,3.915,4.0,11,5,0,48,-2.1045,0,0,0,0,
31,2533,restaurants,3.942,4.0,137,5,2,112,-0.8605,0,0,1,1,97.0
32,147,shopping,4.057,4.0,29,5,19,900,1.2877,0,0,1,1,63.0
33,1646,restaurants,3.755,4.0,17,5,7,266,0.2501,0,0,0,1,16.0
34,39,beauty,2.766,3.0,27,3,2,403,-0.8605,0,1,1,1,57.0
35,1309,health,4.508,4.5,90,4,11,173,0.7092,0,0,0,1,128.0
36,1936,shopping,4.641,4.5,13,5,3,202,-0.5348,0,0,0,1,50.0
37,1326,shopping,3.506,3.5,40,4,4,493,-0.2821,0,1,1,1,37.0
38,1543,restaurants,3.371,3.5,19,1,1,232,-1.3196,0,1,0,1,55.0
39,593,nightlife,4.447,4.5,31,3,5,223,-0.0756,0,1,0,1,100.0
40,2858,beauty,4.88,5.0,36,4,15,431,1.035,0,1,1,1,39.0
41,3186,beauty,4.032,4.0,15,1,3,104,-0.5348,0,1,0,0,
42,1818,shopping,2.909,3.0,22,5,10,319,0.6107,0,0,0,1,35.0
43,221,shopping,3.313,3.5,13,4,5,333,-0.0756,0,1,1,1,17.0
44,249,shopping,4.586,4.5,5,5,16,56,1.1036,0,1,1,1,32.0
45,2698,shopping,3.77,4.0,66,3,3,101,-0.5348,0,1,1,0,
46,3715,services,4.031,4.0,86,5,27,150,1.6687,0,1,1,1,74.0
47,3457,services,3.894,4.0,20,5,10,174,0.6107,0,0,0,1,32.0
48,1621,shopping,3.829,4.0,7,1,6,419,0.0989,0,0,1,1,96.0
49,1989,restaurants,4.771,5.0,25,5,7,119,0.2501,0,0,0,1,57.0
50,652,beauty,4.204,4.0,68,4,3,117,-0.5348,1,0,0,0,
51,280,restaurants,3.45,3.5,49,2,3,477,-0.5348,0,0,0,0,
52,3063,services,4.634,4.5,3,4,7,636,0.2501,0,1,1,0,
53,1713,services,3.954,4.0,31,3,1,656,-1.3196,0,0,0,0,
54,1987,beauty,3.731,3.5,175,4,3,99,-0.5348,0,0,0,1,60.0
55,1372,shopping,3.011,3.0,8,1,2,119,-0.8605,0,0,0,1,32.0
56,1252,restaurants,3.821,4.0,13,5,9,59,0.5028,0,1,0,0,
57,3942,restaurants,4.196,4.0,82,5,9,27,0.5028,1,1,1,1,84.0
58,3264,restaurants,3.662,3.5,35,5,20,88,1.3429,0,1,1,0,
59,2765,health,2.945,3.0,51,5,3,150,-0.5348,0,0,0,1,28.0
60,1556,health,3.314,3.5,7,5,2,324,-0.8605,0,0,0,1,51.0
61,2885,restaurants,3.452,3.5,27,5,1,570,-1.3196,0,1,1,1,59.0
62,1356,shopping,3.308,3.5,259,5,7,245,0.2501,1,1,0,0,
63,2063,restaurants,3.947,4.0,74,4,23,973,1.4941,0,1,0,0,
64,580,shopping,4.085,4.0,14,1,5,120,-0.0756,1,1,0,0,
65,2837,restaurants,4.031,4.0,26,2,5,916,-0.0756,0,0,0,0,
66,241,services,2.897,3.0,47,1,5,127,-0.0756,0,1,1,0,
67,2890,restaurants,2.989,3.0,10,4,7,417,0.2501,0,0,0,0,
68,2414,shopping,3.906,4.0,57,4,15,328,1.035,0,0,0,1,47.0
69,265,restaurants,3.44,3.5,23,5,41,781,2.1278,0,0,0,1,220.0
70,2024,shopping,3.716,3.5,20,5,9,1019,0.5028,0,1,0,0,
71,890,restaurants,3.604,3.5,40,5,9,109,0.5028,0,1,1,1,50.0
72,1904,nightlife,4.165,4.0,6,5,4,35,-0.2821,0,1,0,0,
73,51,restaurants,3.394,3.5,21,1,4,224,-0.2821,0,0,0,1,39.0
74,2887,health,4.906,5.0,8,5,4,384,-0.2821,0,1,1,1,100.0
75,2039,beauty,3.361,3.5,18,4,3,268,-0.5348,0,0,0,1,42.0
76,1449,restaurants,3.818,4.0,8,1,6,3703,0.0989,0,1,0,0,
77,3503,nightlife,3.349,3.5,36,2,10,442,0.6107,0,0,0,0,
78,2579,health,3.834,4.0,77,5,5,441,-0.0756,0,1,1,1,36.0
79,2438,shopping,4.045,4.0,10,5,4,85,-0.2821,0,0,1,1,40.0
80,588,restaurants,3.587,3.5,67,5,6,166,0.0989,0,1,1,1,59.0
81,2000,services,4.244,4.0,8,5,2,416,-0.8605,0,0,1,1,71.0
82,2802,restaurants,4.505,4.5,30,2,12,359,0.7999,0,1,0,0,
83,3703,beauty,3.627,3.5,19,4,3,288,-0.5348,0,1,0,0,
84,2416,restaurants,4.004,4.0,74,5,1,841,-1.3196,0,0,0,1,25.0
85,688,beauty,3.652,3.5,26,4,8,148,0.3835,0,0,0,1,43.0
86,2711,restaurants,3.525,3.5,34,3,9,396,0.5028,0,0,1,1,71.0
87,298,beauty,3.855,4.0,9,5,2,151,-0.8605,0,1,0,0,
88,1251,restaurants,2.686,2.5,89,5,10,3492,0.6107,0,1,0,0,
89,3669,nightlife,3.838,4.0,17,5,10,137,0.6107,0,1,1,1,62.0
90,3207,restaurants,3.787,4.0,33,4,43,1765,2.1804,0,1,1,0,
91,3611,restaurants,3.023,3.0,90,5,4,219,-0.2821,0,1,0,0,
92,1409,beauty,4.581,4.5,15,5,5,153,-0.0756,0,1,1,1,38.0
93,2731,restaurants,4.236,4.0,101,4,3,263,-0.5348,0,0,0,0,
94,2800,health,4.291,4.5,43,5,9,98,0.5028,0,1,1,1,64.0
95,983,shopping,3.043,3.0,51,5,5,120,-0.0756,1,1,0,0,
96,3770,health,3.628,3.5,12,4,15,1183,1.035,0,1,1,1,59.0
97,3879,shopping,4.178,4.0,107,5,3,410,-0.5348,0,0,0,1,40.0
98,441,restaurants,4.136,4.0,7,5,8,625,0.3835,0,0,0,1,27.0
99,3061,shopping,4.448,4.5,172,2,4,179,-0.2821,0,1,0,0,
100,1790,beauty,3.514,3.5,24,5,1,508,-1.3196,0,1,1,0,
101,2695,restaurants,3.973,4.0,18,5,10,309,0.6107,0,1,1,1,78.0
102,2217,health,3.052,3.0,7,2,1,144,-1.3196,0,1,1,0,
103,891,health,3.616,3.5,18,5,4,4739,-0.2821,0,1,0,0,
104,383,shopping,2.984,3.0,118,5,4,78,-0.2821,0,1,0,0,
105,2052,shopping,3.625,3.5,26,5,5,293,-0.0756,0,0,0,1,40.0
106,3348,beauty,4.771,5.0,5,5,5,450,-0.0756,0,0,0,1,41.0
107,3290,shopping,3.293,3.5,17,5,5,359,-0.0756,0,1,0,1,41.0
108,1099,restaurants,4.084,4.0,14,2,7,183,0.2501,0,1,0,1,56.0
109,3441,restaurants,4.191,4.0,21,5,4,153,-0.2821,0,1,0,1,37.0
110,1423,shopping,4.069,4.0,12,5,88,372,2.9781,0,1,1,1,82.0
111,2245,restaurants,3.738,3.5,54,5,3,141,-0.5348,0,1,0,1,43.0
112,1297,restaurants,3.721,3.5,19,5,1,770,-1.3196,0,0,0,0,
113,2091,services,3.089,3.0,21,2,1,337,-1.3196,0,0,0,0,
114,2117,restaurants,4.124,4.0,15,5,10,233,0.6107,0,1,0,0,
115,2790,services,3.671,3.5,53,5,1,304,-1.3196,0,1,0,0,
116,1887,restaurants,4.066,4.0,21,5,1,438,-1.3196,0,0,0,1,80.0
117,2112,restaurants,3.797,4.0,20,5,1,895,-1.3196,0,1,1,1,56.0
118,2605,restaurants,3.774,4.0,12,4,8,392,0.3835,0,0,0,1,44.0
119,1670,restaurants,3.385,3.5,18,5,21,328,1.3956,0,1,0,1,117.0
120,2097,shopping,4.15,4.0,27,5,2,619,-0.8605,0,0,0,0,
121,341,health,4.656,4.5,31,5,8,77,0.3835,0,0,1,1,30.0
122,3479,nightlife,3.962,4.0,12,3,0,168,-2.1045,0,0,0,0,
123,504,shopping,4.261,4.5,12,4,2,238,-0.8605,0,0,0,1,62.0
124,3491,restaurants,3.86,4.0,30,3,10,125,0.6107,0,0,1,0,
125,3041,health,4.272,4.5,27,4,4,524,-0.2821,0,1,0,1,44.0
126,3790,restaurants,3.579,3.5,32,5,15,280,1.035,1,1,1,0,
127,98,restaurants,3.675,3.5,28,1,0,99,-2.1045,0,1,0,0,
128,868,restaurants,3.382,3.5,47,5,2,90,-0.8605,0,1,0,1,20.0
129,209,shopping,4.386,4.5,9,5,8,271,0.3835,0,1,0,0,
130,1670,restaurants,3.385,3.5,18,3,8,492,0.3835,0,0,1,0,
131,3618,restaurants,3.597,3.5,87,5,9,295,0.5028,0,1,1,1,60.0
132,3065,shopping,3.691,3.5,111,1,6,2820,0.0989,0,0,0,1,41.0
133,2815,nightlife,3.082,3.0,10,1,1,229,-1.3196,0,1,1,1,24.0
134,3393,restaurants,3.521,3.5,96,5,2,161,-0.8605,0,0,0,1,25.0
135,16,nightlife,3.857,4.0,18,5,63,883,2.6047,0,1,1,1,91.0
136,3150,restaurants,4.673,4.5,7,5,1,365,-1.3196,0,0,0,0,
137,1248,services,3.494,3.5,28,5,1,906,-1.3196,0,0,1,0,
138,2763,restaurants,4.133,4.0,16,5,10,982,0.6107,0,1,0,1,121.0
139,3053,services,4.798,5.0,21,5,2,199,-0.8605,0,1,0,0,
140,2743,beauty,3.589,3.5,57,4,36,160,1.9842,0,1,1,0,
141,1670,restaurants,3.385,3.5,18,5,100,524,3.1213,1,1,1,1,148.0
142,2446,restaurants,4.706,4.5,14,4,4,132,-0.2821,0,1,0,0,
143,1875,services,3.565,3.5,14,5,7,178,0.2501,0,1,1,1,47.0
144,2513,restaurants,4.202,4.0,14,5,1,49,-1.3196,0,1,0,1,41.0
145,1835,restaurants,4.21,4.0,31,4,15,238,1.035,1,1,1,1,131.0
146,1576,services,4.294,4.5,17,5,0,1025,-2.1045,0,1,0,0,
147,808,shopping,4.328,4.5,15,5,1,280,-1.3196,0,1,0,1,25.0
148,1549,restaurants,4.551,4.5,46,5,6,62,0.0989,0,1,1,1,32.0
149,2885,restaurants,3.452,3.5,27,3,9,1743,0.5028,0,1,1,0,
150,3480,shopping,3.079,3.0,66,1,1,152,-1.3196,0,1,0,0,
151,412,restaurants,3.456,3.5,50,4,3,284,-0.5348,0,0,0,0,
152,731,restaurants,3.517,3.5,13,5,1,367,-1.3196,0,1,1,0,
153,2029,nightlife,4.27,4.5,55,5,3,592,-0.5348,0,0,0,1,83.0
154,2810,restaurants,2.799,3.0,11,4,2,416,-0.8605,0,1,0,0,
155,679,shopping,4.676,4.5,13,5,2,240,-0.8605,0,1,0,1,44.0
156,1299,shopping,3.3,3.5,78,5,10,269,0.6107,0,1,0,1,80.0
157,186,shopping,4.154,4.0,8,5,7,145,0.2501,0,1,1,1,65.0
158,210,beauty,3.461,3.5,7,5,9,107,0.5028,0,0,0,1,126.0
159,572,shopping,3.969,4.0,21,5,4,207,-0.2821,0,1,0,0,
160,2916,restaurants,4.0,4.0,42,5,11,1093,0.7092,0,1,1,1,36.0
161,3477,services,3.761,4.0,11,5,5,105,-0.0756,0,1,1,1,32.0
162,1995,beauty,3.924,4.0,36,4,3,83,-0.5348,0,0,0,0,
163,704,restaurants,3.618,3.5,16,5,9,319,0.5028,0,1,1,1,61.0
164,3685,restaurants,3.619,3.5,12,5,3,681,-0.5348,0,1,0,0,
165,1113,health,4.451,4.5,31,5,3,149,-0.5348,0,1,1,1,37.0
166,618,restaurants,3.72,3.5,24,5,16,114,1.1036,0,1,1,1,59.0
167,552,restaurants,4.06,4.0,15,5,14,377,0.9619,0,1,0,1,61.0
168,1412,services,4.232,4.0,55,5,4,316,-0.2821,1,1,1,1,30.0
169,2942,services,4.527,4.5,71,5,13,1062,0.8838,1,1,1,1,59.0
170,1588,restaurants,3.52,3.5,20,5,1,801,-1.3196,0,0,1,1,34.0
171,1781,services,3.357,3.5,81,5,4,88,-0.2821,0,0,0,0,
172,1361,shopping,3.436,3.5,25,1,2,108,-0.8605,0,1,0,0,
173,3774,services,3.784,4.0,8,5,5,23,-0.0756,0,1,1,1,47.0
174,2734,restaurants,3.538,3.5,12,5,11,323,0.7092,0,1,0,0,
175,2657,nightlife,4.175,4.0,15,5,9,137,0.5028,1,0,0,1,71.0
176,1750,nightlife,3.854,4.0,19,5,8,1613,0.3835,0,1,1,1,31.0
177,2125,shopping,4.064,4.0,199,5,6,173,0.0989,0,1,0,1,15.0
178,3539,restaurants,4.536,4.5,13,5,4,202,-0.2821,0,1,0,1,99.0
179,2626,nightlife,3.052,3.0,29,5,19,145,1.2877,0,1,1,1,73.0
180,3255,services,4.036,4.0,80,5,1,294,-1.3196,0,1,0,0,
181,161,services,2.632,2.5,98,5,2,912,-0.8605,0,0,1,1,49.0
182,3438,restaurants,4.558,4.5,11,5,8,42,0.3835,0,1,1,1,45.0
183,3802,restaurants,3.54,3.5,24,4,27,741,1.6687,0,1,0,1,80.0
184,2672,shopping,2.778,3.0,45,2,3,47,-0.5348,0,0,0,0,
185,3825,nightlife,3.317,3.5,24,5,4,208,-0.2821,0,1,1,1,64.0
186,2270,nightlife,2.416,2.5,38,5,1,103,-1.3196,0,1,0,1,69.0
187,1104,restaurants,3.074,3.0,18,5,3,108,-0.5348,0,0,0,1,22.0
188,2425,beauty,2.869,3.0,58,5,11,79,0.7092,1,1,0,1,34.0
189,2513,restaurants,4.202,4.0,14,4,28,386,1.7084,0,0,1,1,200.0
190,578,services,4.782,5.0,23,5,4,181,-0.2821,1,1,0,1,30.0
191,807,restaurants,4.75,5.0,85,5,2,438,-0.8605,0,1,0,1,48.0
192,1165,services,3.697,3.5,72,4,5,490,-0.0756,0,0,0,1,36.0
193,2189,health,3.386,3.5,18,5,1,212,-1.3196,1,0,0,1,44.0
194,591,shopping,3.575,3.5,56,4,19,488,1.2877,1,0,1,1,52.0
195,3083,services,4.035,4.0,144,5,1,290,-1.3196,0,1,1,1,40.0
196,437,shopping,4.047,4.0,64,5,7,176,0.2501,0,1,1,1,33.0
197,3759,restaurants,3.468,3.5,19,5,7,617,0.2501,0,1,0,1,18.0
198,2703,services,3.255,3.5,5,5,10,1020,0.6107,0,1,1,1,71.0
199,1356,shopping,3.308,3.5,259,4,7,839,0.2501,0,0,0,1,82.0
200,1490,restaurants,2.88,3.0,13,5,5,59,-0.0756,0,1,0,1,34.0
201,2774,beauty,3.089,3.0,26,3,8,287,0.3835,0,1,1,1,65.0
202,355,shopping,4.327,4.5,29,4,12,875,0.7999,0,0,0,0,
203,2865,restaurants,3.705,3.5,25,4,36,91,1.9842,0,1,0,1,119.0
204,2208,restaurants,3.128,3.0,57,5,1,249,-1.3196,0,0,1,1,32.0
205,884,restaurants,4.253,4.5,69,5,1,139,-1.3196,0,0,0,0,
206,3589,restaurants,3.971,4.0,23,1,1,345,-1.3196,0,1,0,1,14.0
207,2516,restaurants,3.823,4.0,9,2,1,3749,-1.3196,0,1,1,1,74.0
208,654,services,4.025,4.0,17,5,1,269,-1.3196,1,1,1,1,33.0
209,2621,health,2.56,2.5,10,1,1,233,-1.3196,0,0,0,1,51.0
210,1644,restaurants,4.158,4.0,367,5,3,2004,-0.5348,1,1,0,1,71.0
211,3056,nightlife,4.652,4.5,121,5,13,324,0.8838,0,1,1,1,74.0
212,1968,shopping,3.574,3.5,10,5,10,155,0.6107,0,1,0,0,
213,3999,restaurants,3.074,3.0,5,5,2,62,-0.8605,0,0,0,1,64.0
214,3709,beauty,4.308,4.5,34,5,3,719,-0.5348,0,1,0,1,30.0
215,160,restaurants,3.798,4.0,47,4,45,94,2.2308,0,0,1,1,168.0
216,1643,restaurants,3.763,4.0,78,4,10,227,0.6107,0,1,0,0,
217,809,health,3.653,3.5,102,5,6,399,0.0989,0,1,0,0,
218,1800,nightlife,3.942,4.0,13,5,6,479,0.0989,0,1,0,1,46.0
219,580,shopping,4.085,4.0,14,4,4,63,-0.2821,1,1,0,0,
220,2142,beauty,3.447,3.5,23,4,45,103,2.2308,1,0,0,1,90.0
221,617,shopping,3.197,3.0,19,5,4,330,-0.2821,0,1,0,1,29.0
222,2492,restaurants,4.446,4.5,6,1,6,66,0.0989,0,1,1,1,31.0
223,1816,beauty,3.933,4.0,15,1,1,500,-1.3196,0,0,0,0,
224,3972,shopping,3.531,3.5,21,1,2,82,-0.8605,0,1,1,1,31.0
225,3514,services,4.152,4.0,114,5,3,208,-0.5348,0,0,0,1,89.0
226,2400,nightlife,4.546,4.5,7,3,8,172,0.3835,0,0,0,1,112.0
227,1794,services,4.179,4.0,45,5,2,551,-0.8605,0,0,1,1,63.0
228,2863,restaurants,4.989,5.0,50,5,5,169,-0.0756,0,0,0,1,51.0
229,2673,shopping,3.604,3.5,54,4,3,511,-0.5348,0,0,1,1,45.0
230,557,shopping,4.146,4.0,46,2,1,759,-1.3196,0,0,1,1,38.0
231,1505,shopping,4.36,4.5,6,5,1,261,-1.3196,0,1,0,1,65.0
232,3968,shopping,3.624,3.5,6,5,4,336,-0.2821,0,1,0,1,43.0
233,1278,services,4.189,4.0,44,5,6,145,0.0989,0,0,1,1,79.0
234,53,beauty,4.587,4.5,6,4,4,100,-0.2821,0,1,1,0,
235,3336,shopping,3.233,3.0,16,2,2,86,-0.8605,0,1,0,1,30.0
236,3731,services,3.982,4.0,29,5,4,296,-0.2821,0,1,0,0,
237,2622,restaurants,3.69,3.5,76,4,3,162,-0.5348,0,0,0,1,62.0
238,2539,shopping,3.846,4.0,13,5,2,395,-0.8605,0,1,0,0,
239,1403,restaurants,3.282,3.5,12,5,5,208,-0.0756,0,1,0,0,
240,1437,shopping,3.482,3.5,22,5,36,172,1.9842,0,1,1,1,33.0
241,3656,restaurants,3.579,3.5,18,4,4,227,-0.2821,0,1,0,0,
242,3432,health,3.174,3.0,11,5,1,41,-1.3196,0,0,0,0,
243,1994,shopping,3.761,4.0,73,2,25,616,1.5847,1,0,1,0,
244,1252,restaurants,3.821,4.0,13,5,20,196,1.3429,0,1,1,1,78.0
245,753,shopping,3.653,3.5,34,5,24,190,1.5403,0,1,1,0,
246,43,restaurants,5.0,5.0,128,4,5,1130,-0.0756,0,1,1,1,59.0
247,1932,beauty,3.53,3.5,20,4,2,203,-0.8605,0,0,0,1,23.0
248,2215,restaurants,3.705,3.5,56,5,2,458,-0.8605,0,1,1,1,46.0
249,2698,shopping,3.77,4.0,66,5,17,47,1.1683,0,0,1,1,17.0
250,3220,restaurants,3.426,3.5,40,4,29,153,1.7468,0,1,1,1,59.0
251,1468,beauty,3.843,4.0,13,3,2,760,-0.8605,0,0,0,1,67.0
252,667,health,4.049,4.0,38,5,0,591,-2.1045,0,0,0,1,32.0
253,3375,shopping,3.874,4.0,10,4,5,495,-0.0756,0,0,1,0,
254,3049,restaurants,4.192,4.0,27,5,2,131,-0.8605,0,1,0,0,
255,2132,health,5.0,5.0,87,4,2,333,-0.8605,0,0,0,1,75.0
256,156,restaurants,3.95,4.0,35,5,4,191,-0.2821,0,0,0,0,
257,1871,shopping,3.52,3.5,5,5,8,369,0.3835,1,0,1,1,64.0
258,2477,restaurants,4.991,5.0,14,5,2,599,-0.8605,0,1,0,0,
259,3434,restaurants,3.742,3.5,7,5,6,323,0.0989,0,1,0,1,69.0
260,2032,shopping,2.838,3.0,44,2,4,695,-0.2821,0,1,0,1,51.0
261,1851,services,1.975,2.0,42,5,0,735,-2.1045,0,1,0,0,
262,1519,restaurants,3.904,4.0,25,5,9,94,0.5028,0,0,1,1,99.0
263,1657,services,4.13,4.0,20,5,3,48,-0.5348,0,1,0,1,39.0
264,65,nightlife,4.785,5.0,48,5,1,683,-1.3196,0,1,1,0,
265,414,restaurants,3.027,3.0,5,4,2,292,-0.8605,0,0,1,1,85.0
266,3025,restaurants,3.954,4.0,7,5,6,963,0.0989,0,1,0,0,
267,1449,restaurants,3.818,4.0,8,5,5,370,-0.0756,0,0,0,1,52.0
268,3403,services,4.746,4.5,41,5,10,1135,0.6107,0,1,0,1,40.0
269,1588,restaurants,3.52,3.5,20,5,8,540,0.3835,0,0,0,1,86.0
270,3987,shopping,3.445,3.5,20,5,1,386,-1.3196,0,1,1,1,44.0
271,722,restaurants,2.882,3.0,30,5,0,190,-2.1045,0,0,0,0,
272,752,restaurants,2.957,3.0,18,5,6,170,0.0989,0,1,1,1,37.0
273,2351,services,3.309,3.5,13,5,10,55,0.6107,0,1,0,1,29.0
274,3210,shopping,3.652,3.5,16,5,4,477,-0.2821,0,1,1,1,51.0
275,575,shopping,3.976,4.0,78,5,10,129,0.6107,0,0,1,1,138.0
276,2011,restaurants,3.688,3.5,155,1,2,212,-0.8605,0,1,1,1,28.0
277,894,beauty,3.842,4.0,21,5,3,261,-0.5348,0,1,0,1,23.0
278,2948,health,3.296,3.5,29,2,2,165,-0.8605,0,1,1,1,64.0
279,2244,shopping,3.201,3.0,53,4,11,319,0.7092,0,1,0,1,104.0
280,2616,restaurants,3.965,4.0,40,5,2,31,-0.8605,0,1,0,0,
281,1075,restaurants,4.895,5.0,31,5,48,277,2.3023,1,1,1,1,67.0
282,1155,restaurants,3.73,3.5,71,5,3,490,-0.5348,0,0,0,0,
283,2558,shopping,4.22,4.0,50,5,12,55,0.7999,0,1,1,1,64.0
284,1411,health,3.989,4.0,3,5,3,144,-0.5348,0,1,0,0,
285,2762,restaurants,3.755,4.0,13,5,22,953,1.4459,1,1,1,1,44.0
286,615,beauty,3.891,4.0,17,1,21,248,1.3956,0,1,1,0,
287,1205,restaurants,4.287,4.5,19,4,3,142,-0.5348,0,1,0,0,
288,406,restaurants,3.834,4.0,14,5,7,539,0.2501,0,1,1,1,123.0
289,349,restaurants,4.465,4.5,13,1,20,97,1.3429,0,1,0,1,59.0
290,1049,restaurants,2.681,2.5,70,5,7,105,0.2501,0,1,1,1,63.0
291,1957,restaurants,2.943,3.0,29,3,2,114,-0.8605,0,0,0,0,
292,577,nightlife,3.497,3.5,89,5,5,957,-0.0756,0,1,0,0,
293,371,restaurants,3.323,3.5,38,5,2,105,-0.8605,0,1,0,1,40.0
294,3509,restaurants,3.436,3.5,12,5,6,253,0.0989,0,0,0,1,67.0
295,2060,health,3.917,4.0,18,5,2,775,-0.8605,0,1,0,0,
296,2862,restaurants,4.135,4.0,48,4,7,107,0.2501,0,0,0,1,93.0
297,2904,shopping,3.877,4.0,22,5,1,54,-1.3196,0,1,0,1,43.0
298,406,restaurants,3.834,4.0,14,5,1,1896,-1.3196,0,1,0,0,
299,2481,restaurants,4.082,4.0,55,4,2,306,-0.8605,0,1,1,1,35.0
300,3442,restaurants,4.604,4.5,19,5,4,150,-0.2821,0,1,1,1,85.0
301,1793,beauty,4.48,4.5,101,5,1,234,-1.3196,0,1,0,1,15.0
302,3448,restaurants,3.931,4.0,51,1,2,539,-0.8605,0,1,0,1,83.0
303,3783,restaurants,3.591,3.5,48,3,12,65,0.7999,1,1,1,0,
304,2185,restaurants,3.565,3.5,16,5,13,175,0.8838,0,1,1,1,46.0
305,406,restaurants,3.834,4.0,14,3,0,566,-2.1045,0,1,1,0,
306,2469,restaurants,4.227,4.0,10,4,3,1050,-0.5348,0,1,1,0,
307,3520,shopping,3.758,4.0,16,5,20,1041,1.3429,0,1,1,1,40.0
308,2317,beauty,3.686,3.5,39,4,8,300,0.3835,0,1,1,0,
309,3200,beauty,4.17,4.0,55,4,8,1086,0.3835,1,0,1,1,64.0
310,2141,shopping,3.763,4.0,42,5,9,57,0.5028,0,0,1,1,66.0
311,1678,services,3.54,3.5,73,5,2,310,-0.8605,0,0,1,0,
312,3782,health,3.986,4.0,105,5,6,25,0.0989,0,0,0,1,62.0
313,611,nightlife,2.894,3.0,38,5,8,1006,0.3835,0,1,0,1,56.0
314,1790,beauty,3.514,3.5,24,1,6,406,0.0989,0,0,0,1,52.0
315,623,shopping,4.01,4.0,52,5,3,1379,-0.5348,0,1,0,1,29.0
316,2618,services,4.356,4.5,15,3,5,156,-0.0756,0,1,1,0,
317,3687,health,3.134,3.0,9,1,1,79,-1.3196,0,1,0,0,
318,3991,shopping,4.971,5.0,12,5,10,561,0.6107,0,1,1,1,67.0
319,934,beauty,3.005,3.0,15,3,1,234,-1.3196,0,1,1,0,
320,2910,beauty,3.924,4.0,72,5,2,737,-0.8605,0,1,0,1,39.0
321,3496,beauty,5.0,5.0,40,5,10,554,0.6107,0,0,1,0,
322,3334,shopping,4.081,4.0,27,4,7,205,0.2501,0,1,0,1,62.0
323,2013,shopping,4.789,5.0,181,5,3,264,-0.5348,0,1,1,1,46.0
324,697,nightlife,3.954,4.0,9,5,1,219,-1.3196,0,1,0,0,
325,1846,restaurants,3.37,3.5,8,5,5,278,-0.0756,0,1,1,1,35.0
326,3104,nightlife,3.629,3.5,11,1,2,171,-0.8605,0,1,0,1,39.0
327,2478,shopping,4.667,4.5,6,5,8,470,0.3835,0,1,0,0,
328,1553,shopping,3.761,4.0,33,5,3,57,-0.5348,0,0,0,0,
329,860,beauty,3.026,3.0,16,5,1,48,-1.3196,0,0,0,0,
330,2607,restaurants,3.049,3.0,4,5,1,181,-1.3196,0,1,0,1,69.0
331,1713,services,3.954,4.0,31,4,3,154,-0.5348,0,0,1,0,
332,1888,services,5.0,5.0,45,4,6,169,0.0989,0,1,0,0,
333,3753,beauty,4.346,4.5,13,5,1,826,-1.3196,0,0,0,0,
